422533057519030273,luisiberico,-12.0888039,-76.9243461,2014-01-12 07:58:25 PM
422061242476662784,luisiberico,-12.0889036,-76.924489,2014-01-11 12:43:36 PM
420955941945622528,luisiberico,-12.0840703,-76.9274404,2014-01-08 11:31:32 AM
420954007713357824,luisiberico,-12.0889526,-76.9245057,2014-01-08 11:23:51 AM
409358399059816448,luisiberico,-8.1213548,-79.0377171,2013-12-07 11:27:02 AM
397497805742555136,luisiberico,-12.0480799,-77.0274462,2013-11-04 05:57:16 PM
397495250349862912,luisiberico,-12.0480799,-77.0274462,2013-11-04 05:47:07 PM
397434151768305664,luisiberico,-12.0465024,-77.0234112,2013-11-04 01:44:20 PM
397431105269547008,luisiberico,-12.0465024,-77.0234112,2013-11-04 01:32:14 PM
397070067323899904,luisiberico,-12.0889695,-77.0587462,2013-11-03 01:37:35 PM
397049705630531584,luisiberico,-12.08825021,-77.05690436,2013-11-03 12:16:41 PM
397045057930686464,luisiberico,-12.08829202,-77.05659849,2013-11-03 11:58:13 AM
390990264283979776,luisiberico,-12.0478781,-77.0253958,2013-10-17 06:58:37 PM
385554349994573824,luisiberico,-15.4945492,-70.1304563,2013-10-02 06:58:14 PM
380891339820236801,luisiberico,-12.0479626,-77.0253853,2013-09-19 10:09:06 PM
380890963595784193,luisiberico,-12.0479626,-77.0253853,2013-09-19 10:07:36 PM
380887982448070656,luisiberico,-12.0479626,-77.0253853,2013-09-19 09:55:46 PM
380835719507607552,luisiberico,-12.0479626,-77.0253853,2013-09-19 06:28:05 PM
376776013013065728,luisiberico,-12.08883854,-76.924558,2013-09-08 01:36:16 PM
